,Steered Parameter Value,Fitness,Time
0,0.1,0.8841145833333334,11.374362707138062
1,0.1,0.88671875,11.641627788543701
2,0.1,0.8997395833333334,11.225642681121826
3,0.1,0.8854166666666666,11.16667652130127
4,0.1,0.8854166666666666,11.10076379776001
5,0.1,0.8828125,11.243586778640747
6,0.1,0.8932291666666666,11.254721403121948
7,0.1,0.89453125,11.144749879837036
8,0.1,0.9010416666666666,11.187800645828247
9,0.1,0.8723958333333334,11.417734384536743
10,0.2,0.90234375,11.093517065048218
11,0.2,0.8802083333333334,11.153732538223267
12,0.2,0.8880208333333334,11.290710210800171
13,0.2,0.90234375,11.225552082061768
14,0.2,0.890625,11.139842987060547
15,0.2,0.8893229166666666,11.126096963882446
16,0.2,0.8815104166666666,11.109501600265503
17,0.2,0.8932291666666666,11.227933168411255
18,0.2,0.8932291666666666,11.189672231674194
19,0.2,0.8893229166666666,11.230221509933472
20,0.3,0.87890625,11.219862222671509
21,0.3,0.8854166666666666,11.226665019989014
22,0.3,0.8893229166666666,11.20436716079712
23,0.3,0.89453125,11.126271486282349
24,0.3,0.8802083333333334,11.08603572845459
25,0.3,0.8828125,11.108070850372314
26,0.3,0.88671875,11.16454815864563
27,0.3,0.8919270833333334,11.254072189331055
28,0.3,0.8880208333333334,11.213398694992065
29,0.3,0.88671875,11.169203758239746
30,0.4,0.8854166666666666,11.201265096664429
31,0.4,0.8841145833333334,11.146562814712524
32,0.4,0.8932291666666666,11.165123462677002
33,0.4,0.8815104166666666,11.200636625289917
34,0.4,0.9010416666666666,11.127957344055176
35,0.4,0.90234375,11.224295616149902
36,0.4,0.89453125,11.197180271148682
37,0.4,0.8984375,11.176814794540405
38,0.4,0.8958333333333334,11.175215244293213
39,0.4,0.9075520833333334,11.226755857467651
40,0.5,0.8880208333333334,11.068575620651245
41,0.5,0.8919270833333334,11.161884069442749
42,0.5,0.89453125,11.199934005737305
43,0.5,0.8880208333333334,11.320358753204346
44,0.5,0.87890625,11.066389322280884
45,0.5,0.8841145833333334,11.28764033317566
46,0.5,0.9036458333333334,11.252800703048706
47,0.5,0.8971354166666666,11.231165647506714
48,0.5,0.8841145833333334,11.150927543640137
49,0.5,0.8971354166666666,11.177537679672241
50,0.6,0.8815104166666666,11.215123414993286
51,0.6,0.8697916666666666,11.19863772392273
52,0.6,0.8854166666666666,11.165194511413574
53,0.6,0.9010416666666666,11.207727909088135
54,0.6,0.8893229166666666,11.127381563186646
55,0.6,0.8802083333333334,11.14842438697815
