,Steered Parameter Value,Fitness,Time
0,0.01,0.7637,12.241740703582764
1,0.01,0.76685,11.990151405334473
2,0.01,0.7665500000000001,11.563963651657104
3,0.01,0.76367,11.721887111663818
4,0.01,0.76404,11.97754716873169
5,0.01,0.7645299999999999,11.887852430343628
6,0.01,0.76231,11.580114364624023
7,0.01,0.76654,11.561216831207275
8,0.01,0.76307,11.547906398773193
9,0.01,0.76527,11.55413293838501
10,0.02,0.7635000000000001,11.597991704940796
11,0.02,0.76407,11.585630893707275
12,0.02,0.76508,11.478797674179077
13,0.02,0.76564,11.544610261917114
14,0.02,0.7674799999999999,11.57915735244751
15,0.02,0.76639,11.48549199104309
16,0.02,0.76524,11.47861909866333
17,0.02,0.76475,11.601450443267822
18,0.02,0.76562,11.620433568954468
19,0.02,0.7642100000000001,11.599371671676636
20,0.03,0.76556,11.650315761566162
21,0.03,0.7666999999999999,11.599053144454956
22,0.03,0.76456,12.294148921966553
23,0.03,0.76778,12.485182046890259
24,0.03,0.76604,11.923326253890991
25,0.03,0.76435,11.750841617584229
26,0.03,0.76614,11.69002628326416
27,0.03,0.76779,12.593681573867798
28,0.03,0.76334,11.614673852920532
29,0.03,0.76564,11.66314435005188
30,0.04,0.76405,11.548633098602295
31,0.04,0.76786,11.644872665405273
32,0.04,0.7648,11.528576374053955
33,0.04,0.76481,11.54775881767273
34,0.04,0.76632,11.692301750183105
35,0.04,0.7642599999999999,11.788573980331421
36,0.04,0.76517,11.831480264663696
37,0.04,0.76429,12.06283688545227
38,0.04,0.76628,12.110324621200562
39,0.04,0.7636499999999999,12.090348482131958
40,0.049999997,0.76176,12.050011157989502
41,0.049999997,0.76173,11.799375772476196
42,0.049999997,0.7656000000000001,11.696497201919556
43,0.049999997,0.7614,11.894224643707275
44,0.049999997,0.76335,11.999138832092285
45,0.049999997,0.76718,11.869961261749268
46,0.049999997,0.76625,11.972081661224365
47,0.049999997,0.7639400000000001,11.895540475845337
48,0.049999997,0.7651600000000001,11.88272762298584
49,0.049999997,0.76315,11.828006505966187
50,0.059999995,0.76569,11.78342080116272
51,0.059999995,0.76346,11.931238889694214
52,0.059999995,0.76544,11.684114217758179
53,0.059999995,0.76444,11.726159811019897
54,0.059999995,0.7620899999999999,11.884594917297363
55,0.059999995,0.7641100000000001,11.869377851486206
56,0.059999995,0.76351,11.915129661560059
57,0.059999995,0.76234,11.76845383644104
58,0.059999995,0.76379,11.783573389053345
59,0.059999995,0.76204,11.799595832824707
60,0.06999999,0.7625,11.798184633255005
61,0.06999999,0.76668,11.817948579788208
62,0.06999999,0.7633,11.951473951339722
63,0.06999999,0.76298,11.840890884399414
64,0.06999999,0.76079,11.783567905426025
65,0.06999999,0.76312,11.76516318321228
66,0.06999999,0.76146,11.736708402633667
67,0.06999999,0.76049,11.735288858413696
68,0.06999999,0.76217,11.766566514968872
69,0.06999999,0.76319,11.85573434829712
70,0.07999999,0.76477,11.755232095718384
71,0.07999999,0.76266,11.935179710388184
72,0.07999999,0.7608,11.747613191604614
73,0.07999999,0.76052,11.824310064315796
74,0.07999999,0.76092,11.788993120193481
75,0.07999999,0.76187,11.860746622085571
76,0.07999999,0.7612099999999999,11.812595129013062
77,0.07999999,0.76156,11.820770263671875
78,0.07999999,0.76492,12.188122272491455
79,0.07999999,0.76343,11.859474658966064
80,0.08999999,0.7629900000000001,11.81865406036377
81,0.08999999,0.76207,11.861495733261108
82,0.08999999,0.76135,11.911164045333862
83,0.08999999,0.75979,11.860591173171997
84,0.08999999,0.7612099999999999,11.835321426391602
85,0.08999999,0.7623,11.78010082244873
86,0.08999999,0.76125,11.74222469329834
87,0.08999999,0.76139,11.827375888824463
88,0.08999999,0.76008,11.928289890289307
89,0.08999999,0.76199,11.794523000717163
90,0.09999999,0.76159,11.769901752471924
91,0.09999999,0.7608699999999999,12.09086799621582
92,0.09999999,0.7605,11.766942501068115
93,0.09999999,0.76184,12.007178544998169
94,0.09999999,0.762,11.77376389503479
95,0.09999999,0.76084,11.854437112808228
96,0.09999999,0.7627200000000001,11.796279430389404
97,0.09999999,0.76035,11.890803098678589
98,0.09999999,0.76022,11.88748025894165
99,0.09999999,0.75946,11.970297574996948
100,0.109999985,0.76408,12.000478506088257
101,0.109999985,0.75894,11.87539267539978
102,0.109999985,0.76132,11.903029203414917
103,0.109999985,0.76176,11.998076438903809
104,0.109999985,0.76176,11.85405707359314
105,0.109999985,0.75928,11.91333293914795
106,0.109999985,0.76123,11.809909343719482
107,0.109999985,0.75959,12.000377893447876
108,0.109999985,0.75988,12.353148460388184
109,0.109999985,0.76114,11.927218914031982
110,0.11999998,0.76051,11.93517255783081
111,0.11999998,0.75943,12.020465612411499
112,0.11999998,0.76044,11.955502986907959
113,0.11999998,0.7594,12.040157556533813
114,0.11999998,0.75964,12.015169620513916
115,0.11999998,0.76054,12.024279117584229
116,0.11999998,0.76129,11.977764368057251
117,0.11999998,0.75962,12.269887447357178
118,0.11999998,0.7583,12.133758783340454
119,0.11999998,0.75898,12.038292646408081
120,0.12999998,0.76405,12.366517305374146
121,0.12999998,0.7597,12.292981147766113
122,0.12999998,0.76062,12.03896188735962
123,0.12999998,0.76039,12.123451471328735
124,0.12999998,0.75901,11.892521381378174
125,0.12999998,0.75894,11.87422490119934
126,0.12999998,0.76185,11.961430549621582
127,0.12999998,0.76263,11.958230018615723
128,0.12999998,0.75795,12.048489332199097
129,0.12999998,0.76235,11.967287063598633
130,0.13999999,0.75899,12.051009893417358
131,0.13999999,0.75888,12.0828275680542
132,0.13999999,0.7609,12.036252975463867
133,0.13999999,0.7595000000000001,11.99291443824768
134,0.13999999,0.76503,12.045814037322998
135,0.13999999,0.75864,12.183114051818848
136,0.13999999,0.75941,12.037516832351685
137,0.13999999,0.76144,11.950301170349121
138,0.13999999,0.76135,12.920911312103271
139,0.13999999,0.76079,12.431456327438354
140,0.14999999,0.7596,12.791560649871826
141,0.14999999,0.75792,12.359545707702637
142,0.14999999,0.76105,12.13074779510498
143,0.14999999,0.7610399999999999,12.21275281906128
144,0.14999999,0.75929,12.117270231246948
145,0.14999999,0.75815,12.356270790100098
146,0.14999999,0.75842,12.449639081954956
147,0.14999999,0.75947,12.578684568405151
148,0.14999999,0.76012,12.190576553344727
149,0.14999999,0.75838,12.349307298660278
150,0.16,0.7579,12.402458429336548
151,0.16,0.75859,12.384202003479004
152,0.16,0.7587200000000001,12.381850242614746
153,0.16,0.75972,12.297292947769165
154,0.16,0.75849,12.196357727050781
155,0.16,0.75857,12.372595071792603
156,0.16,0.75968,12.072405338287354
157,0.16,0.75956,12.061366081237793
158,0.16,0.76013,12.003940343856812
159,0.16,0.7590600000000001,12.12337064743042
160,0.17,0.75974,12.101579189300537
161,0.17,0.76123,12.144907474517822
162,0.17,0.75971,12.291553974151611
163,0.17,0.75798,12.254030466079712
164,0.17,0.75945,12.43814206123352
165,0.17,0.75739,12.082065105438232
166,0.17,0.75964,12.03974461555481
167,0.17,0.75841,12.06818962097168
168,0.17,0.758,12.109901428222656
169,0.17,0.76006,12.295363187789917
170,0.18,0.75897,12.515830755233765
171,0.18,0.76014,12.272671222686768
172,0.18,0.75634,12.098684549331665
